Ensembl;Gene symbol;Name;Biotype;Chromosome;Seq region start;Seq region end
ENSG00000149403;GRIK4;"glutamate ionotropic receptor kainate type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4582]";Protein Coding;11;120511759;120988904
ENSG00000250625;;;Unprocessed Pseudogene;X;142194352;142195490
ENSG00000105737;GRIK5;"glutamate ionotropic receptor kainate type subunit 5 [Source:HGNC Symbol;Acc:HGNC:4583]";Protein Coding;19;41998321;42069498
ENSG00000176884;GRIN1;"glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584]";Protein Coding;9;137138390;137168762
ENSG00000176826;FKBP9P1;"FK506 binding protein 9 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23568]";Transcribed Unprocessed Pseudogene;7;55681074;55713252
ENSG00000183454;GRIN2A;"glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585]";Protein Coding;16;9753404;10182754
ENSG00000273079;GRIN2B;"glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586]";Protein Coding;12;13437942;13981957
ENSG00000161509;GRIN2C;"glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587]";Protein Coding;17;74842023;74861504
ENSG00000254712;;;Processed Pseudogene;11;6843664;6844666
ENSG00000105464;GRIN2D;"glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]";Protein Coding;19;48394875;48444931
ENSG00000125388;GRK4;"G protein-coupled receptor kinase 4 [Source:HGNC Symbol;Acc:HGNC:4543]";Protein Coding;4;2963608;3040747
ENSG00000202310;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;8;100158868;100158975
ENSG00000198873;GRK5;"G protein-coupled receptor kinase 5 [Source:HGNC Symbol;Acc:HGNC:4544]";Protein Coding;10;119207589;119459742
ENSG00000269575;MTDHP5;;Processed Pseudogene;19;22140532;22141117
ENSG00000277987;;;Linc R N A;15;98324273;98327494
ENSG00000237178;;;Processed Pseudogene;2;177344443;177344836
ENSG00000198055;GRK6;"G protein-coupled receptor kinase 6 [Source:HGNC Symbol;Acc:HGNC:4545]";Protein Coding;5;177403204;177442901
ENSG00000215571;GRK6P1;"G protein-coupled receptor kinase 6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4547]";Processed Pseudogene;13;21319156;21320866
ENSG00000237493;;;Processed Pseudogene;12;55980432;55981035
ENSG00000250604;;;Antisense;4;158199105;158200442
ENSG00000152822;GRM1;"glutamate metabotropic receptor 1 [Source:HGNC Symbol;Acc:HGNC:4593]";Protein Coding;6;146027646;146437598
ENSG00000276136;;;Linc R N A;12;32000375;32001222
ENSG00000274321;;"TUC338 [Source:RFAM;Acc:RF02271]";Misc R N A;1;88520000;88520170
ENSG00000164082;GRM2;"glutamate metabotropic receptor 2 [Source:HGNC Symbol;Acc:HGNC:4594]";Protein Coding;3;51707070;51718613
ENSG00000198822;GRM3;"glutamate metabotropic receptor 3 [Source:HGNC Symbol;Acc:HGNC:4595]";Protein Coding;7;86643914;86864884
ENSG00000124493;GRM4;"glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596]";Protein Coding;6;34018645;34155622
ENSG00000255082;GRM5-AS1;"GRM5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40265]";Antisense;11;88504576;88524054
ENSG00000236202;GRM7-AS1;"GRM7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40267]";Antisense;3;7519741;7560333
ENSG00000214955;;;Linc R N A;21;34205055;34325034
ENSG00000267927;;;Antisense;19;52171158;52177002
ENSG00000270426;;;Sense Intronic;4;184471924;184472609
ENSG00000237665;GRM7-AS2;"GRM7 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40266]";Antisense;3;6892632;6894022
ENSG00000226258;GRM7-AS3;"GRM7 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:42444]";Linc R N A;3;6631689;6805449
ENSG00000225611;;;Antisense;3;42770612;42773635
ENSG00000255396;;;Processed Pseudogene;11;84997226;84997768
ENSG00000164946;FREM1;"FRAS1 related extracellular matrix 1 [Source:HGNC Symbol;Acc:HGNC:23399]";Protein Coding;9;14734666;14910995
ENSG00000179603;GRM8;"glutamate metabotropic receptor 8 [Source:HGNC Symbol;Acc:HGNC:4600]";Protein Coding;7;126438598;127253294
ENSG00000134443;GRP;"gastrin releasing peptide [Source:HGNC Symbol;Acc:HGNC:4605]";Protein Coding;18;59220168;59230774
ENSG00000233211;GRPEL2P1;"GrpE like 2, mitochondrial pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:41969]";Processed Pseudogene;13;88978447;88978785
ENSG00000225814;GRPEL2P2;"GrpE like 2, mitochondrial pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:41970]";Processed Pseudogene;X;64697878;64698547
ENSG00000230682;GRPEL2P3;"GrpE like 2, mitochondrial pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:41971]";Processed Pseudogene;7;94782886;94783525
ENSG00000133937;GSC;"goosecoid homeobox [Source:HGNC Symbol;Acc:HGNC:4612]";Protein Coding;14;94768216;94770230
ENSG00000063515;GSC2;"goosecoid homeobox 2 [Source:HGNC Symbol;Acc:HGNC:4613]";Protein Coding;22;19148576;19150283
ENSG00000105723;GSK3A;"glycogen synthase kinase 3 alpha [Source:HGNC Symbol;Acc:HGNC:4616]";Protein Coding;19;42230186;42242625
ENSG00000082701;GSK3B;"glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]";Protein Coding;3;119821323;120094417
ENSG00000204148;LINC00474;"long intergenic non-protein coding RNA 474 [Source:HGNC Symbol;Acc:HGNC:23367]";Linc R N A;9;115888169;115925207
ENSG00000277161;PIGW;"phosphatidylinositol glycan anchor biosynthesis class W [Source:HGNC Symbol;Acc:HGNC:23213]";Protein Coding;17;36535020;36539310
ENSG00000152779;SLC16A12;"solute carrier family 16 member 12 [Source:HGNC Symbol;Acc:HGNC:23094]";Protein Coding;10;89430299;89556641
ENSG00000263716;SLC25A51P2;"solute carrier family 25 member 51 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:23327]";Processed Pseudogene;18;7134931;7135819
ENSG00000271419;;;Processed Pseudogene;1;114353986;114355178
ENSG00000189369;GSPT2;"G1 to S phase transition 2 [Source:HGNC Symbol;Acc:HGNC:4622]";Protein Coding;X;51743431;51746232
ENSG00000259727;;;Linc R N A;15;62895812;62899543
ENSG00000104687;GSR;"glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]";Protein Coding;8;30678061;30727926
ENSG00000100983;GSS;"glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]";Protein Coding;20;34928430;34955817
ENSG00000243955;GSTA1;"glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:HGNC:4626]";Protein Coding;6;52791664;52803910
ENSG00000244067;GSTA2;"glutathione S-transferase alpha 2 [Source:HGNC Symbol;Acc:HGNC:4627]";Protein Coding;6;52750089;52763569
ENSG00000170899;GSTA4;"glutathione S-transferase alpha 4 [Source:HGNC Symbol;Acc:HGNC:4629]";Protein Coding;6;52977948;52995378
ENSG00000223622;GSTA6P;"glutathione S-transferase alpha 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:4630]";Unprocessed Pseudogene;6;52805613;52813460
ENSG00000254224;;;Antisense;8;96235427;96238034
ENSG00000255133;;;Linc R N A;11;33814877;33822095
ENSG00000257852;;;Processed Pseudogene;12;32072734;32072880
ENSG00000236075;;;Sense Intronic;6;40501631;40502393
ENSG00000237674;GSTA7P;"glutathione S-transferase alpha 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:4631]";Unprocessed Pseudogene;6;52739590;52744656
ENSG00000264379;;"Small nucleolar RNA SNORD55/SNORD39 [Source:RFAM;Acc:RF00157]";Sno R N A;9;21524307;21524382
ENSG00000230845;GSTA10P;"glutathione S-transferase alpha 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:49904]";Unprocessed Pseudogene;6;52873014;52879940
ENSG00000283324;;;Protein Coding;1;150887136;150913292
ENSG00000217228;GSTA12P;"glutathione S-transferase alpha 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:49906]";Unprocessed Pseudogene;6;52765280;52778347
ENSG00000138780;GSTCD;"glutathione S-transferase C-terminal domain containing [Source:HGNC Symbol;Acc:HGNC:25806]";Protein Coding;4;105708778;105847728
ENSG00000134184;GSTM1;"glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]";Protein Coding;1;109687814;109709039
ENSG00000278050;;"Nuclear enriched abundant transcript 1 conserved region 2 [Source:RFAM;Acc:RF01956]";Misc R N A;11;65423638;65423742
ENSG00000272657;;;Processed Transcript;21;34073592;34360033
ENSG00000229278;;;Antisense;10;99651989;99653905
ENSG00000233981;;;Linc R N A;6;14004920;14006901
ENSG00000263547;;;Processed Transcript;18;76122998;76145255
ENSG00000213366;GSTM2;"glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]";Protein Coding;1;109668022;109709551
ENSG00000168765;GSTM4;"glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]";Protein Coding;1;109656081;109674836
ENSG00000258552;;;Processed Pseudogene;14;77173075;77173652
ENSG00000236062;GSTM5P1;"glutathione S-transferase mu 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4633]";Processed Pseudogene;3;12257801;12258460
ENSG00000084207;GSTP1;"glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]";Protein Coding;11;67583595;67586660
ENSG00000283467;;;Protein Coding;6;24840704;25041926
ENSG00000099984;GSTT2;"glutathione S-transferase theta 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:4642]";Polymorphic Pseudogene;22;23980058;23983915
ENSG00000133433;GSTT2B;"glutathione S-transferase theta 2B (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:33437]";Protein Coding;22;23957414;23961186
ENSG00000140307;GTF2A2;"general transcription factor IIA subunit 2 [Source:HGNC Symbol;Acc:HGNC:4647]";Protein Coding;15;59638062;59657541
ENSG00000248928;;;Processed Pseudogene;5;99594880;99595297
ENSG00000207209;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;1;147420199;147420300
ENSG00000248911;;;Processed Pseudogene;8;52975111;52976116
ENSG00000153767;GTF2E1;"general transcription factor IIE subunit 1 [Source:HGNC Symbol;Acc:HGNC:4650]";Protein Coding;3;120742637;120783069
ENSG00000276823;;"Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]";Misc R N A;X;48524480;48524806
ENSG00000199282;;"Small nucleolar RNA SNORA9 [Source:RFAM;Acc:RF00411]";Sno R N A;13;72586680;72586810
ENSG00000283291;;"5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]";R R N A;20;29741510;29741661
ENSG00000197265;GTF2E2;"general transcription factor IIE subunit 2 [Source:HGNC Symbol;Acc:HGNC:4651]";Protein Coding;8;30578318;30658251
ENSG00000233427;;;Antisense;1;28870483;28877336
ENSG00000280427;;;Protein Coding;7;65554258;65555459
ENSG00000125651;GTF2F1;"general transcription factor IIF subunit 1 [Source:HGNC Symbol;Acc:HGNC:4652]";Protein Coding;19;6379569;6393981
ENSG00000252420;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;3;61739127;61739229
ENSG00000201388;;"Small nucleolar RNA SNORA68 [Source:RFAM;Acc:RF00263]";Sno R N A;19;32608337;32608469
ENSG00000267640;;;Transcribed Unprocessed Pseudogene;19;37817359;37832160
ENSG00000188342;GTF2F2;"general transcription factor IIF subunit 2 [Source:HGNC Symbol;Acc:HGNC:4653]";Protein Coding;13;45120515;45284909
ENSG00000230994;FGFR3P1;"fibroblast growth factor receptor 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:21664]";Processed Pseudogene;6;31377419;31378019
ENSG00000251254;GTF2F2P1;"general transcription factor IIF subunit 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4654]";Processed Pseudogene;4;147506091;147506765
ENSG00000283502;;"U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]";Sn R N A;2;47781379;47781465
ENSG00000110768;GTF2H1;"general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]";Protein Coding;11;18322295;18367044
ENSG00000207516;;"Small nucleolar RNA SNORA41 [Source:RFAM;Acc:RF00403]";Sno R N A;15;45537250;45537377
ENSG00000276100;;"ST7 overlapping transcript 4 conserved region 3 [Source:RFAM;Acc:RF02189]";Misc R N A;7;116956431;116956723
ENSG00000145736;GTF2H2;"general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656]";Protein Coding;5;71032670;71067689
ENSG00000254027;;;Antisense;8;81279871;81281446
ENSG00000111358;GTF2H3;"general transcription factor IIH subunit 3 [Source:HGNC Symbol;Acc:HGNC:4657]";Protein Coding;12;123633739;123662606
ENSG00000201701;;"Small nucleolar RNA SNORA25 [Source:RFAM;Acc:RF00402]";Sno R N A;3;32037526;32037653
ENSG00000213780;GTF2H4;"general transcription factor IIH subunit 4 [Source:HGNC Symbol;Acc:HGNC:4658]";Protein Coding;6;30908184;30914106
ENSG00000263001;GTF2I;"general transcription factor IIi [Source:HGNC Symbol;Acc:HGNC:4659]";Protein Coding;7;74657667;74760692
ENSG00000277053;GTF2IP1;"general transcription factor IIi pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4660]";Transcribed Unprocessed Pseudogene;7;75185385;75237696
ENSG00000233369;GTF2IP4;"general transcription factor IIi pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:51716]";Transcribed Processed Pseudogene;7;73154938;73207283
ENSG00000273961;;"HOXA11 antisense RNA 1 conserved region 1 [Source:RFAM;Acc:RF02137]";Misc R N A;7;27185433;27185530
ENSG00000266736;GTF2IP6;"general transcription factor IIi pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:51718]";Unprocessed Pseudogene;17;27019527;27047934
ENSG00000227038;GTF2IP7;"general transcription factor IIi pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:51720]";Transcribed Unprocessed Pseudogene;7;76090431;76108779
ENSG00000224881;;;Processed Pseudogene;2;87379880;87380767
ENSG00000139445;FOXN4;"forkhead box N4 [Source:HGNC Symbol;Acc:HGNC:21399]";Protein Coding;12;109277979;109309220
ENSG00000268392;;;Linc R N A;19;57625032;57626950
ENSG00000276706;;"Viral integration site 1 [Source:RFAM;Acc:RF01992]";Misc R N A;2;144705217;144705419
ENSG00000276318;GTF2IP8;"general transcription factor IIi pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:51719]";Unprocessed Pseudogene;18;14695422;14706597
ENSG00000251451;GTF2IP9;"general transcription factor IIi pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:51721]";Unprocessed Pseudogene;7;66407288;66409239
ENSG00000200120;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;15;49137762;49137863
ENSG00000255199;GTF2IP11;"general transcription factor IIi pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:51724]";Unprocessed Pseudogene;11;50100892;50102898
ENSG00000226002;GTF2IP14;"general transcription factor IIi pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:51726]";Unprocessed Pseudogene;7;65084103;65100232
ENSG00000259095;GTF2IP22;"general transcription factor IIi pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:51734]";Processed Pseudogene;14;20173632;20173813
ENSG00000230295;GTF2IP23;"general transcription factor IIi pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:51735]";Unprocessed Pseudogene;7;66880708;66882981
ENSG00000006704;GTF2IRD1;"GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]";Protein Coding;7;74453790;74602604
ENSG00000212595;;"5S ribosomal RNA [Source:RFAM;Acc:RF00001]";R R N A;X;151026295;151026406
ENSG00000196275;GTF2IRD2;"GTF2I repeat domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30775]";Protein Coding;7;74796144;74851551
ENSG00000276039;;;Processed Pseudogene;9;66962271;66962348
ENSG00000251830;;"Small nucleolar RNA SNORD46 [Source:RFAM;Acc:RF00218]";Sno R N A;6;24166273;24166374
ENSG00000122034;GTF3A;"general transcription factor IIIA [Source:HGNC Symbol;Acc:HGNC:4662]";Protein Coding;13;27424544;27435823
ENSG00000115207;GTF3C2;"general transcription factor IIIC subunit 2 [Source:HGNC Symbol;Acc:HGNC:4665]";Protein Coding;2;27325849;27357034
ENSG00000119041;GTF3C3;"general transcription factor IIIC subunit 3 [Source:HGNC Symbol;Acc:HGNC:4666]";Protein Coding;2;196763032;196799725
ENSG00000100226;GTPBP1;"GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4669]";Protein Coding;22;38705723;38738299
ENSG00000260038;;;Sense Intronic;16;57247350;57248492
ENSG00000202198;;"7SK RNA [Source:RFAM;Acc:RF00100]";Misc R N A;6;52995620;52995950
ENSG00000273927;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;7;73039085;73039186
ENSG00000199470;;"Small nucleolar RNA SNORA64/SNORA10 family [Source:RFAM;Acc:RF00264]";Sno R N A;7;12700758;12700889
ENSG00000279183;;;Protein Coding;19;40647563;40647937
ENSG00000172432;GTPBP2;"GTP binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4670]";Protein Coding;6;43605316;43629162
ENSG00000112599;GUCA1B;"guanylate cyclase activator 1B [Source:HGNC Symbol;Acc:HGNC:4679]";Protein Coding;6;42184401;42194916
ENSG00000138472;GUCA1C;"guanylate cyclase activator 1C [Source:HGNC Symbol;Acc:HGNC:4680]";Protein Coding;3;108907792;108953895
ENSG00000277577;;"X-chromosome inactivation gene exon 4 [Source:RFAM;Acc:RF01881]";Misc R N A;X;73831145;73831270
ENSG00000227148;;;Linc R N A;7;63044827;63054431
ENSG00000238390;;"Small nucleolar RNA SNORA81 [Source:RFAM;Acc:RF01241]";Sno R N A;21;31664306;31664482
ENSG00000206651;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;1;156484098;156484210
ENSG00000197273;GUCA2A;"guanylate cyclase activator 2A [Source:HGNC Symbol;Acc:HGNC:4682]";Protein Coding;1;42162691;42164718
ENSG00000252204;;"Small nucleolar RNA SNORA25 [Source:RFAM;Acc:RF00402]";Sno R N A;12;31811088;31811190
ENSG00000137942;FNBP1L;"formin binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:20851]";Protein Coding;1;93448131;93554661
ENSG00000206797;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;20;450663;450762
ENSG00000256725;;;Linc R N A;12;130628316;130716281
ENSG00000238745;;"Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]";Sno R N A;5;138623479;138623582
ENSG00000152402;GUCY1A2;"guanylate cyclase 1 soluble subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:4684]";Protein Coding;11;106674012;107018524
ENSG00000238761;;"Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]";Sno R N A;1;112371004;112371107
ENSG00000280127;;;Protein Coding;3;130868872;130869246
ENSG00000278938;;;Protein Coding;17;77777090;77777464
ENSG00000164116;GUCY1A3;"guanylate cyclase 1 soluble subunit alpha [Source:HGNC Symbol;Acc:HGNC:4685]";Protein Coding;4;155666711;155732349
ENSG00000123201;GUCY1B2;"guanylate cyclase 1 soluble subunit beta 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4686]";Transcribed Unitary Pseudogene;13;50994511;51080862
ENSG00000206911;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;11;93827622;93827734
ENSG00000061918;GUCY1B3;"guanylate cyclase 1 soluble subunit beta [Source:HGNC Symbol;Acc:HGNC:4687]";Protein Coding;4;155758992;155807591
ENSG00000132518;GUCY2D;"guanylate cyclase 2D, retinal [Source:HGNC Symbol;Acc:HGNC:4689]";Protein Coding;17;8002594;8020339
ENSG00000204529;GUCY2EP;"guanylate cyclase 2E, pseudogene [Source:HGNC Symbol;Acc:HGNC:4690]";Transcribed Unprocessed Pseudogene;11;76694041;76719801
ENSG00000101890;GUCY2F;"guanylate cyclase 2F, retinal [Source:HGNC Symbol;Acc:HGNC:4691]";Protein Coding;X;109372906;109482072
ENSG00000143774;GUK1;"guanylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:4693]";Protein Coding;1;228139962;228148984
ENSG00000234770;GULOP;"gulonolactone (L-) oxidase, pseudogene [Source:HGNC Symbol;Acc:HGNC:4695]";Unitary Pseudogene;8;27560274;27589073
ENSG00000274008;;"Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]";Misc R N A;10;69098496;69098794
ENSG00000279654;;;Protein Coding;14;64894339;64894713
ENSG00000281269;;;Pseudogene;15;43109928;43110018
ENSG00000260351;;;Antisense;15;83022571;83090782
ENSG00000272237;;"Small nucleolar RNA SNORA25 [Source:RFAM;Acc:RF00402]";Sno R N A;2;227887631;227887744
ENSG00000277269;;"MEST intronic transcript 1, antisense RNA conserved region 1 [Source:RFAM;Acc:RF02148]";Misc R N A;7;130487483;130487622
